blank,brewery_id,name,alcohol,style
,879,Stillwater Rye,0,Crappy
,879,Sharptail Pale Ale,0,American-Style Pale Ale
,879,Fat Belly Amber,0,American-Style Amber/Red Ale
,879,Whitetail Wheat,0,American-Style Lager
,879,Sandbagger Gold,0,Crappy
,901,Brunette Nut Brown Ale,0,American-Style Brown Ale
,901,Irish Red,0,Crappy
,901,Belgian Wit,0,Crappy
,901,EOS Hefeweizen,0,South German-Style Hefeweizen
,901,India Pale Ale,0,American-Style Pale Ale
,1185,Winter Ale,6.3,Old Ale
,1260,Pride & Joy Mild Ale,0,English-Style Pale Mild Ale
,1260,Robert the Bruce Scottish Ale,7,Scotch Ale
,1056,Lump of Coal Dark Holiday Stout,8,American-Style Stout
,1056,Warm Welcome Nut Browned Ale,6,American-Style Brown Ale
,884,Pendle Witches Brew,5.1,American-Style Pale Ale
,345,Carnegie Stark-Porter,5.5,Porter
,727,Harvest Ale 2002,11.5,Old Ale
,1075,Woody Organic IPA,6.2,American-Style India Pale Ale
,620,Adriaan,5,Crappy
,304,Leute Bok Bier,7.5,Traditional German-Style Bock
,905,La Folie Falling Rock,6,Crappy
,1315,Oak Aged IPA,6,Crappy
,304,Tikka Gold,5,American-Style Pale Ale
,179,La Divine Double Blond,7.5,Crappy
,179,La Divine Tripel Amber,9,Crappy
,292,Ename Tripel,8.5,Crappy
,827,Triple Dipsea Belgian,9.2,Crappy
,1019,Oktoberfest Weizen,5.7,Crappy
,1029,Imperial Hefeweizen,7.5,Crappy
,481,Triple Exultation Old Ale,9.7,Old Ale
,130,Organic Gingerbread Ale,6.8,Crappy
,1064,Falcon Pale Ale,0,American-Style Pale Ale
,441,Buzzsaw Brown,4.8,American-Style Brown Ale
,369,Eisenbahn South American Pale Ale (S.A.P.A.),0,American-Style Pale Ale
,584,Geist Bock,6.1,Traditional German-Style Bock
,623,Troll Porter,0,Porter
,397,Dark Ale,4.5,English-Style Pale Mild Ale
,441,Cinder Cone Red,5.4,American-Style Amber/Red Ale
,562,LTD 02 Lager,6.4,Traditional German-Style Bock
,189,Saison Vielle Provision,6.5,Crappy
,130,Organic Barley Wine Ale 2005,9.5,Crappy
,562,Old Boardhead 2006,9,Crappy
,622,Blue Dot Double India Pale Ale,7,Imperial or Double India Pale Ale
,562,Nugget,0,American-Style Amber/Red Ale
,1175,American Pale Ale,0,American-Style Pale Ale
,236,471 Extra ESB,7.8,Crappy
,935,Odell Red Ale,6.5,American-Style Amber/Red Ale
,335,Long Leg English Fuggles Hop Ale,0,Crappy
,671,Summer Lightning,5,Crappy
,255,Haymaker Extra Pale Ale,0,Crappy
,447,Pale Ale,0,American-Style Pale Ale
,447,Silk Lady,4.4,American-Style Pale Ale
,447,Danger Ale,5.2,American-Style Brown Ale
,447,Irish Style Ale,5.2,Crappy
,1392,Yeti Special Export,7,American-Style Lager
,1151,Steelie Brown Ale,0,American-Style Brown Ale
,441,Bond Street 19th Anniversary,8.7,Crappy
,1151,Trumpeter,0,American-Style Stout
,1264,Nitro Porter,0,Porter
,62,Fourteen,9.46,Crappy
,919,Old Stock Ale 2007,11.7,Old Ale
,160,Cold Hop,6.5,English-Style India Pale Ale
,742,Hitachino Nest Espresso Stout,7.5,Crappy
,433,Witte,5,Crappy
,432,Slaapmutske Triple Nightcap,8.1,Crappy
,723,Biere de Mars,7,Old Ale
,300,Kerst Pater Special Christmas Beer,9,Crappy
,432,Zoetzuur Flemish Ale,7,Crappy
,869,WPA (Wheat Pale Ale),0,Crappy
,869,Smoked Hefe,0,American-Style Lager
,1084,The Unforgiven Amber Ale,5.8,American-Style Amber/Red Ale
,192,Strange Ghost,8,Crappy
,595,Duke IPA,5.1,American-Style India Pale Ale
,595,Broad Axe Stout,5,American-Style Stout
,595,Northern Light Lager,4.4,American-Style Lager
,31,Podge Belgian Imperial Stout,10.5,American-Style Stout
,307,Okocim Porter,8.3,Porter
,458,1809,5,Crappy
,433,Pannepot,10,Crappy
,604,Samurai,5.1,Crappy
,122,Crystal Ale,0,Crappy
,177,Gavroche French Red Ale,8.5,Crappy
,1138,Coney Island Lager,0,Crappy
,191,La BiÃ¨re des Collines van de Saisis,0,Crappy
,211,Dark Beer / StiftsbrÃ¤u,0,Crappy
,723,LuciÃ©rnaga,6.5,Belgian-Style Pale Ale
,202,CuvÃ©e des Champions 2003-2004,0,Belgian-Style Fruit Lambic
,859,Beer Geek Breakfast,7.5,American-Style Imperial Stout
,432,Flemish Primitive Wild Ale (Spoon Whacker),9,Crappy
,39,Bock,5.5,Traditional German-Style Bock
,810,Double India Pale Ale,8.6,American-Style Pale Ale
,984,Old Bawdy 2006,10,Crappy
,397,Extra Strong Vintage Ale,7.5,Crappy
,481,Certified Organic India Pale Ale,7,American-Style Pale Ale
,481,Certified Organic Porter,5.5,Porter
,481,Certified Organic Extra Pale Ale,0,Crappy
,481,Certified Organic Amber Ale,4.8,American-Style Amber/Red Ale
,706,Farm House Ale,6.7,Crappy
,255,Beer Town Brown,0,American-Style Brown Ale
,890,Tanners Jack,4.4,Crappy
,62,Mephistopheles Stout,16.03,American-Style Stout
,923,NÃ¸gne Ã˜ Brown Ale,4.5,American-Style Brown Ale
,1204,Vertical Epic 07.07.07,8.4,Crappy
,1136,Ringwood Brewery Old Thumper Extra Special Ale,0,Crappy
,1136,Export Ale,5.1,American-Style Pale Ale
,950,Bourbon Barrel Porter,9.1,Crappy
,1204,Old Guardian Barley Wine 2007,11.26,Crappy
,892,White Christmas,6.5,Crappy
,175,Winter,10.5,Crappy
,765,Undercover Investigation Shut-Down Ale,9.28,American-Style Pale Ale
,727,Harvest Ale 2006,11.6,Old Ale
,202,Classic Gueuze,0,Belgian-Style Fruit Lambic
,1315,Gueuze-Lambic,6.5,Belgian-Style Fruit Lambic
,484,Schwarzbier / Dunkel,4.9,German-Style Schwarzbier
,779,Sawtooth Ale,0,American-Style Pale Ale
,779,Pole Star Pilsner,0,Crappy
,935,90 Shilling,5.3,Scottish-Style Light Ale
,905,Sunshine Wheat,4.8,Light American Wheat Ale or Lager
,174,Grand Cru,9.5,Crappy
,70,Der Weisse Bock,8.5,South German-Style Weizenbock
,176,Stouterik / The Brussels Stout,0,Crappy
,779,Black Jack Porter,0,Porter
,161,Lunar Ale,5.1,American-Style Brown Ale
,604,Denver Pale Ale / DPA,5.4,American-Style Pale Ale
,296,Grotten Flemish Ale,7.7,Other Belgian-Style Ales
,1316,Grand Cru,9,Crappy
,501,Summer Common,0,Crappy
,1185,Golden Ale,4.7,Crappy
,174,Ambree,9,Crappy
,296,Pater 6,6.7,Belgian-Style Dubbel
,187,Blanche de Namur,4.5,Crappy
,905,Skinny Dip,4.2,Golden or Blonde Ale
,174,Blanche Double,6,Crappy
,236,Summer Bright Ale,0,Crappy
,905,Mothership Wit,4.8,Crappy
,696,Lia Fail Stone of Destiny Ale,4.7,Crappy
,395,Premium XB Bluebird Bitter,4.4,Crappy
,1056,IPA,5.5,American-Style India Pale Ale
,167,Houblon,9,Crappy
,935,Double Pilsner,8.1,American-Style Lager
,708,Creamy Dark,4.9,American-Style Lager
,757,Premium Pils Edelherb,4.9,Crappy
,590,StÃ¼venbrÃ¤u Maibock,0,Traditional German-Style Bock
,590,Jack of Spades Schwarzbier,3.9,German-Style Schwarzbier
,1179,Shiner Hefeweizen,5.4,South German-Style Hefeweizen
,1154,Sapporo Premium Beer,0,American-Style Lager
,501,Dark German Lager,0,Crappy
,44,Spring Heat Spiced Wheat,5.2,Crappy
,567,Gose,4.6,Crappy
,1176,Pils,5,Crappy
,1274,New,4.6,American-Style Lager
,369,Eisenbahn Defumada,0,Crappy
,369,Eisenbahn Escura,0,German-Style Schwarzbier
,369,Eisenbahn Dourada,0,Crappy
,501,Fallen Angel Sweet Stout,0,American-Style Stout
,604,Hot Shot ESB,5,Extra Special Bitter
,312,Porter,8,Porter
,923,NÃ¸gne Ã˜ Imperial Stout,9,American-Style Imperial Stout
,923,NÃ¸gne Ã˜ Porter,7,Porter
,923,NÃ¸gne Ã˜ Pale Ale,6,American-Style Pale Ale
,501,Eccentric Belgian Wheat,0,Crappy
,1265,Oatmeal Stout,0,American-Style Stout
,1265,Amber Light,0,American-Style Lager
,1265,New World Wheat,0,American-Style Lager
,1265,Maibock,0,Traditional German-Style Bock
,1265,Ironwood Dark,0,American-Style Brown Ale
,1265,Cascade Amber,0,American-Style Amber/Red Ale
,1265,Alpine Gold,0,Crappy
,624,Illuminator Doppelbock,6.8,Traditional German-Style Bock
,624,Old Princeton Landing IPA,6.1,American-Style India Pale Ale
,624,Paddle Out Stout,5.2,American-Style Stout
,624,Pillar Point Pale Ale,4.6,American-Style Pale Ale
,624,Sandy Beach Blonde Hefeweizen,4.5,South German-Style Hefeweizen
,624,Mavericks Amber Ale,4.8,American-Style Amber/Red Ale
,624,Harbor Light Ale,4.8,Crappy
,1126,Leroy Barleywine,0,Crappy
,1126,Oatmeal Stout,6,American-Style Stout
,1126,Amber,5,American-Style Amber/Red Ale
,1126,Blur IPA,0,American-Style India Pale Ale
,1126,Pelican Pale,5,American-Style Pale Ale
,1126,Brew Ribbon,0,American-Style Lager
,701,Casey Jones Imperial IPA,7.25,American-Style India Pale Ale
,701,Fairfax Coffee Porter,5.5,Crappy
,701,Epiphany Ale,5.5,American-Style Amber/Red Ale
,701,IPA,6,American-Style India Pale Ale
,701,Chazz Cat Rye,4.5,American-Style Lager
,701,Shining Star Pale Ale,5,American-Style Pale Ale
,701,Honey Bunny Blonde Ale,5.8,American-Style Lager
,701,Kent Lake Kolsch,4,Crappy
,892,Old Blarney Barleywine,10,Crappy
,892,Irish Dry Stout,4.8,American-Style Stout
,892,Kilt Lifter Scottish Ale,8,Scotch Ale
,892,India Pale Ale,6.5,American-Style Pale Ale
,588,Blonde Bock,7,Traditional German-Style Bock
,588,Schwarzbier,4.3,German-Style Schwarzbier
,588,Czech Lager,0,Crappy
,385,Yule Tide,10,Belgian-Style Tripel
,588,Pilsner,5.3,Crappy
,308,Warka Strong,7,American-Style Lager
,1074,Porter,0,Porter
,1074,ESB,0,Crappy
,1074,Pale Ale,0,American-Style Pale Ale
,1074,Kristall Weizen,0,American-Style Lager
,1163,ESB (Extra Special Blizzard),6,Crappy
,677,Paint the Town Red,0,American-Style Amber/Red Ale
,677,Golden Ale,0,Crappy
,1004,Train Wreck IPA,0,American-Style India Pale Ale
,1004,Zone 7 Porter,3.8,Porter
,1004,Pleasanton Pale,5.3,American-Style Pale Ale
,1004,Island Wheat,0,American-Style Lager
,707,Hefeweizen,5.6,South German-Style Hefeweizen
,707,Red Ale,0,Crappy
,707,Penalty Shot Porter,5.8,Porter
,707,India Pale Ale,7.5,American-Style Pale Ale
,707,Grid Iron Amber Ale,5.6,American-Style Amber/Red Ale
,707,Boys of Summer Wheat,3.5,American-Style Lager
,523,Pale Ale,0,American-Style Pale Ale
,523,Red Ale,0,American-Style Amber/Red Ale
,523,Hefeweizen,0,American-Style Lager
,523,Bitter,0,Crappy
,523,Double IPA,0,American-Style India Pale Ale
,133,Tatonka Stout,8.5,American-Style Imperial Stout
,133,P.M. Porter,6.4,Porter
,133,Jeremiah Red,7.3,Irish-Style Red Ale
,133,Piranha Pale Ale,5.7,American-Style Pale Ale
,133,Harvest Hefeweizen,4.9,South German-Style Hefeweizen
,133,Brewhouse Blonde,4.7,Crappy
,133,Nutty Brewnette,5.9,American-Style Brown Ale
,515,India Pale Ale (IPA),0,American-Style India Pale Ale
,515,Belgian Tripel,0,Crappy
,515,Belgian Abbey,0,Crappy
,515,Stout,0,American-Style Stout
,515,Pale Ale,0,American-Style Pale Ale
,515,Best Bitter,0,Crappy
,515,Hefe Weizen,0,South German-Style Hefeweizen
,515,Pilsner,0,Crappy
,515,KÃ¶lsch,0,Crappy
,727,Harvest Ale 2005 (Whisky),11.5,Crappy
,727,Harvest Ale 2005 (Calvados),11.5,Crappy
,727,Harvest Ale 2005 (Sherry),11.5,Crappy
,1072,Old Crustacean Barleywine 2006,11.5,Crappy
,236,Avalanche Amber,5.4,American-Style Amber/Red Ale
,236,Hefe Proper Ale,0,American-Style Lager
,935,Levity Amber Ale,5.1,American-Style Amber/Red Ale
,935,Easy Street Wheat,4.6,Light American Wheat Ale or Lager
,161,Boulevard Pale Ale,5.4,American-Style Pale Ale
,161,Bully! Porter,5.4,Porter
,795,Bovine Belgian Winter Ale,0,Crappy
,795,XX Black Angus Stout,0,American-Style Stout
,795,Blarney Stone Stout,0,American-Style Stout
,795,Bison Brown Ale,0,American-Style Brown Ale
,795,Prairie Pale,0,American-Style Pale Ale
,795,Wildcat Wheat,0,American-Style Lager
,161,Boulevard Dry Stout,4.9,American-Style Stout
,160,Planet Porter / Boulder Porter,5.5,Porter
,195,Amber,8,Crappy
,187,Blanche des Moines,4.5,Crappy
,187,Triple Moine,7.2,Crappy
,272,Arabier,9,Belgian-Style Pale Strong Ale
,272,Bos Keun,8.9,Belgian-Style Pale Strong Ale
,175,Grand Cru,10.5,Crappy
,272,Oerbier,7.5,Crappy
,272,Dulle Teve / Mad Bitch,10,Crappy
,278,Vuuve,0,Crappy
,284,Gouden Carolus Tripel,9,Crappy
,284,Gouden Carolus Ambrio 1471,8,Crappy
,269,Pauwel Kwak,8,Crappy
,285,Delirium NoÃ«l,10,Other Belgian-Style Ales
,7,Rochefort 10,11.3,Belgian-Style Quadrupel
,167,McChouffe,8.5,Dark American-Belgo-Style Ale
,236,471 Double IPA,9.2,American-Style India Pale Ale
,167,La Chouffe Golden Ale,8,Belgian-Style Pale Strong Ale
,184,Saison Voisin,5,Crappy
,322,Olde Expensive Ale,0,Old Ale
,110,Quadrupel,10,Crappy
,110,Tripel,8,Crappy
,110,Dubbel,7,Crappy
,903,Old Growler,6.5,Porter
,431,Urthel Vlaemse Bock,7.5,Traditional German-Style Bock
,296,Watou Tripel,7.5,Belgian-Style Tripel
,586,Matilda,7,Crappy
,638,Old Engine Oil Special Reserve (aged in malt whisky casks),8,Crappy
,935,Imperial Stout,7.1,American-Style Stout
,757,EKU 28,11,Traditional German-Style Bock
,757,Eisbock,9.2,Traditional German-Style Bock
,1115,Doppelbock Dunkel,8.5,German-Style Doppelbock
,1385,Special London Ale,6.4,Old Ale
,1385,Oatmeal Stout,5.2,American-Style Stout
,128,Super,8,Crappy
,128,Wayan,5.6,Crappy
,160,GABF 25th Year Beer,0,Extra Special Bitter
,39,Old Foghorn 2006,9.4,Crappy
,21,Grand Cru 2006,10,Crappy
,363,Cerveza Negra,6.5,American-Style Stout
,363,Cerveza Diablo,7.5,American-Style Lager
,363,Cerveza Roja,6,German-Style Oktoberfest
,300,Buffalo Belgian Stout,9,Crappy
,238,Rader AmbrÃ©e,0,Crappy
,238,Rader Blonde,6.5,Crappy
,626,Toleration,4.4,Crappy
,1185,English Ale,0,American-Style Pale Ale
,425,Ripon Jewel Ale,5.8,American-Style Pale Ale
,200,XTra,4.5,Crappy
,723,Bam BiÃ¨re,4.5,French & Belgian-Style Saison
,1115,Samichlaus Bier 2005,14,Traditional German-Style Bock
,609,Barleywine,10,American-Style Barley Wine Ale
,1177,Old Godfather,10.2,Crappy
,1023,Aventinus Weizen-Eisbock,12,Traditional German-Style Bock
,1023,Aventinus Weizenstarkbier / Doppel Weizen Bock,8.2,South German-Style Weizenbock
,905,New Belgium Trippel Belgian Style Ale,8.5,Belgian-Style Tripel
,249,Hennepin Farmhouse Ale,7.7,Crappy
,905,Abbey Belgian Style Ale,7,Belgian-Style Dubbel
,1142,India Pale Ale,6.8,American-Style Pale Ale
,1142,Bigfoot 2006,9.6,Crappy
,1054,Iron Fist Pale Ale,0,American-Style Pale Ale
,586,Demolition,8,American-Style Lager
,723,Oro de Calabaza,8,Belgian-Style Pale Strong Ale
,723,La Roja,7.2,American-Style Amber/Red Ale
,919,Brother Thelonious,9,Crappy
,441,Hop Trip Fresh Hop Pale Ale,5.5,American-Style Pale Ale
,130,Organic Belgian Ale,0,Crappy
,1192,Nieuw Ligt Grand Cru 2006,12,Crappy
,604,Hibernation Ale,8.1,Old Ale
,623,Wee Heavy Winter Ale,0,Scotch Ale
,905,2Â° Below,6.6,Extra Special Bitter
,425,Monkey Wrench Dark Ale,5.3,Porter
,425,Old Legover,4.1,Crappy
,604,Hercules Double IPA,9.1,American-Style India Pale Ale
,604,Fresh Hop Pale Ale,6.1,American-Style Pale Ale
,98,Twisted Thistle India Pale Ale,6.1,American-Style Pale Ale
,1315,Espresso Stout,0,Crappy
,441,Inversion IPA,6.8,American-Style India Pale Ale
,844,India Pale Ale,7.5,American-Style Pale Ale
,844,London Porter,6.5,Porter
,742,Hitachino Nest Celebration Ale 2006,9,Crappy
,363,Rubia,6,American-Style Lager
,562,Session Premium Lager,5.1,American-Style Lager
,156,Mocny BOSS / BOSS Beer,8.1,American-Style Lager
,127,La Rossa,7.2,Traditional German-Style Bock
,905,Blue Paddle Pilsener,4.8,German-Style Pilsener
,367,Lager,4,American-Style Lager
,70,Hell,4.9,Crappy
,70,Pilsner,4.9,Crappy
,70,Ungespundet Lager Hefetrub,5.2,Crappy
,1188,Keller-Bier,0,Crappy
,1264,Imperial Porter,0,Porter
,1264,Amber Ale,0,American-Style Amber/Red Ale
,905,La Folie,6,Crappy
,296,Abt 12,10,Belgian-Style Quadrupel
,195,Nostradamus,9.5,Crappy
,175,Triple,9,Crappy
,168,Ultrabrune,10,Crappy
,277,PÃ¨re NoÃ«l,0,Crappy
,1375,Bah Humbug,6,Old Ale
,727,Harvest Ale 2005 (Port),11.5,Crappy
,727,Harvest Ale 2005,11.5,Old Ale
,727,Moonraker,7.5,Crappy
,638,Old Engine Oil,6,Porter
,1043,Pitchfork Rebellious Bitter,4.3,Crappy
,638,Bitter and Twisted,3.8,Crappy
,1185,India Pale Ale,0,American-Style Pale Ale
,1043,Old Slug Porter,4.5,Porter
,744,Golden Abbot Lager,0,Crappy
,744,Porter,7.1,Porter
,757,MÃ¶nchshof KellerbrÃ¤u,0,Crappy
,626,Nightmare,5,Porter
,205,Ur-Weisse,0,South German-Style Hefeweizen
,650,Schlenkerla Helles Lagerbier,4.3,Crappy
,743,Ondineke Oilsjtersen Tripel,8.5,Crappy
,1043,Ale Mary,6,American-Style Pale Ale
,743,Jan de Lichte,7,Crappy
,1142,Bigfoot 2000,9.6,Crappy
,222,Rauchbier Lager,4.6,Crappy
,14,Bourbon Imperial Stout,0,Crappy
,14,Witbier,0,Crappy
,14,Bavarian Bock,0,Traditional German-Style Bock
,14,Heater,0,American-Style Amber/Red Ale
,14,Harvest Brown,0,American-Style Brown Ale
,14,Brout,0,Crappy
,650,Aecht Schlenkerla Rauchbier MÃ¤rzen,0,Crappy
,650,Aecht Schlenkerla Rauchbier Weizen,0,American-Style Lager
,757,Kapuziner Schwarz-Weizen,5.4,Crappy
,70,Christmas Bock,6,Traditional German-Style Bock
,296,Prior 8,8,Belgian-Style Dubbel
,395,Old Man Ale,4.8,Crappy
,1056,Criminally Bad Elf,10.5,Crappy
,1056,Very Bad Elf Special Reserve Ale,7.5,Crappy
,70,Weisse,4.9,South German-Style Hefeweizen
,757,MÃ¶nchshof Premium Schwarzbier,4.9,German-Style Schwarzbier
,296,St. Bernardus Tripel,8,Belgian-Style Tripel
,296,BiÃ¨re Blanche,0,Crappy
,1375,Wychcraft,0,Crappy
,1204,Double Bastard Ale,10,American-Style Pale Ale
,7,Rochefort 6,7.5,Dark American-Belgo-Style Ale
,277,Guldenberg,8.5,Crappy
,262,Westmalle Trappist Tripel,9.5,Belgian-Style Tripel
,590,Fire in the Hole!,0,Crappy
,590,Cow Palace Scotch Ale,6.8,Scotch Ale
,590,Toil & Trubbel Dubbel,8.1,Crappy
,590,Abtskelder Tripel,8.4,Crappy
,590,All-American Gold,0,Crappy
,511,Curator Dunkler Doppelbock,9,Traditional German-Style Bock
,511,Kloster Dunkel,0,Crappy
,511,Kloster Edel-Hell,0,Crappy
,594,Teton Ale,0,American-Style Amber/Red Ale
,534,Pilsener,4.8,Crappy
,230,Nickelbier,6.5,Traditional German-Style Bock
,216,Edel-Pils,4.8,Crappy
,845,Weiss-Gold,0,Crappy
,225,Zwickelbier,0,Crappy
,225,Pils,5,Crappy
,225,Spezial,5.1,Crappy
,1120,WeiÃŸe,0,South German-Style Hefeweizen
,1120,Schwarzbier,5.3,German-Style Schwarzbier
,1120,Pils,4.9,Crappy
,1120,Original NÂº 1 NaturtrÃ¼b,0,Crappy
,74,Schwarze,0,German-Style Schwarzbier
,74,Blonde,0,Crappy
,74,Rotgold-Pils,4.9,American-Style Lager
,30,Spezial,5.2,Crappy
,30,Pils,4.9,Crappy
,204,Coronator Helle Doppelbock,7.5,Traditional German-Style Bock
,204,See-Weizen Bio-Hefeweizen,0,South German-Style Hefeweizen
,204,Kellerpils,0,Crappy
,204,Pils,0,Crappy
,204,Kronenbier,0,Crappy
,1146,Dunkles Weissbier,0,Crappy
,1146,Festbier,0,German-Style Oktoberfest
,1146,Dunkles Lager,0,Crappy
,1146,Weizen,0,South German-Style Hefeweizen
,1146,BrÃ¤ustatt Pils,0,Crappy
,1146,BrÃ¤ustatt Gold,0,Crappy
,205,Altbairisch Dunkel,0,Crappy
,671,Pickled Santa,6,Crappy
,727,Manchester Star Ale,7.3,Old Ale
,189,Moinette Brune,8.5,Crappy
,192,Chocolat,8,Crappy
,190,BiÃ¨re de NoÃ«l,0,Crappy
,164,BiÃ¨re de Gamme,0,Crappy
,129,Panil BarriquÃ©e,0,Crappy
,183,CuvÃ©e du 7Ã¨me,0,Crappy
,192,Dark White,0,Crappy
,501,Festive Ale 2006,0,Crappy
,44,Green Valley Stone Mill Pale Ale,5.5,American-Style Pale Ale
,44,Green Valley Wild Hop Lager,0,American-Style Lager
,806,LÃ¶wen Weisse,0,South German-Style Hefeweizen
,1198,Herbstbier,0,German-Style Schwarzbier
,1198,Altbier,0,American-Style Brown Ale
,1198,Huusbier,0,Crappy
,217,Leermond Bier,0,Crappy
,649,Original Ittinger KlosterbrÃ¤u,0,American-Style Lager
,233,Huusbier Schwarz,4.5,Porter
,233,Oktoberfest,0,South German-Style Weizenbock
,233,Weizentrumpf,5.5,South German-Style Hefeweizen
,233,Honey Brown Ale,6,American-Style Lager
,233,Huusbier Hell,4.6,Crappy
,748,KÃ¶nig Ludwig Weissbier Dunkel,0,Crappy
,877,Gambrinus,4.6,Crappy
,877,NaturtrÃ¼bes Kellerbier,0,Traditional German-Style Bock
,1116,Stout,5,American-Style Stout
,1116,Weizen,5,South German-Style Hefeweizen
,1116,Spezial,5.5,Crappy
,1116,Naturtrubes,5.1,Crappy
,219,St. Galler Landbier,0,Crappy
,569,Maisbier,0,Crappy
,569,Weizenbier,0,South German-Style Hefeweizen
,569,Dunkel,0,Crappy
,569,Hell,0,Crappy
,877,Spezial,5.6,Crappy
,1344,Single-Malt-Bier,0,American-Style Lager
,1344,Ur-Pils,5.1,Crappy
,1344,Ur-Weizen,5,South German-Style Hefeweizen
,1344,Hanf,5,Crappy
,1344,Dunkel,4.8,Crappy
,1344,Hell,4.8,Crappy
,1344,Blond,4.8,Crappy
,213,Dunkle Weisse,5.3,Crappy
,750,WalderBrÃ¤u Export,0,Crappy
,216,Hefe-Weizen,5.2,South German-Style Hefeweizen
,216,Edel-Spezial,5.2,Crappy
